target,message,message_len,message_clean,target_encoded
ham,"Go until jurong point, crazy.. Available only in bugis n great world la e buffet... Cine there got amore wat...",111,go jurong point crazi avail bugi n great world la e buffet cine got amor wat,0
ham,Ok lar... Joking wif u oni...,29,ok lar joke wif oni,0
spam,Free entry in 2 a wkly comp to win FA Cup final tkts 21st May 2005. Text FA to 87121 to receive entry question(std txt rate)T&C's apply 08452810075over18's,155,free entri wkli comp win fa cup final tkts may text fa receiv entri question std txt rate appli,1
ham,U dun say so early hor... U c already then say...,49,dun say earli hor alreadi say,0
ham,"Nah I don't think he goes to usf, he lives around here though",61,nah think goe usf live around though,0
spam,"FreeMsg Hey there darling it's been 3 week's now and no word back! I'd like some fun you up for it still? Tb ok! XxX std chgs to send, å£1.50 to rcv",148,freemsg hey darl week word back like fun still tb ok xxx std chgs send $$$ rcv,1
ham,Even my brother is not like to speak with me. They treat me like aids patent.,77,even brother like speak treat like aid patent,0
ham,As per your request 'Melle Melle (Oru Minnaminunginte Nurungu Vettam)' has been set as your callertune for all Callers. Press *9 to copy your friends Callertune,160,per request mell mell oru minnaminungint nurungu vettam set callertun caller press copi friend callertun,0
spam,WINNER!! As a valued network customer you have been selected to receivea å£900 prize reward! To claim call 09061701461. Claim code KL341. Valid 12 hours only.,158,winner valu network custom select receivea $$$ prize reward claim call claim code valid hour,1
spam,Had your mobile 11 months or more? U R entitled to Update to the latest colour mobiles with camera for Free! Call The Mobile Update Co FREE on 08002986030,154,mobil month r entitl updat latest colour mobil camera free call mobil updat co free,1
ham,"I'm gonna be home soon and i don't want to talk about this stuff anymore tonight, k? I've cried enough today.",109,gonna home soon want talk stuff anymor tonight k cri enough today,0
spam,"SIX chances to win CASH! From 100 to 20,000 pounds txt> CSH11 and send to 87575. Cost 150p/day, 6days, 16+ TsandCs apply Reply HL 4 info",136,six chanc win cash pound txt send cost day tsandc appli repli hl info,1
spam,"URGENT! You have won a 1 week FREE membership in our å£100,000 Prize Jackpot! Txt the word: CLAIM to No: 81010 T&C www.dbuk.net LCCLTD POBOX 4403LDNW1A7RW18",156,urgent week free membership $$$ prize jackpot txt word claim http lccltd pobox,1
ham,I've been searching for the right words to thank you for this breather. I promise i wont take your help for granted and will fulfil my promise. You have been wonderful and a blessing at all times.,196,search right word thank breather promis wont take help grant fulfil promis wonder bless time,0
ham,I HAVE A DATE ON SUNDAY WITH WILL!!,35,date sunday,0
spam,"XXXMobileMovieClub: To use your credit, click the WAP link in the next txt message or click here>> http://wap. xxxmobilemovieclub.com?n=QJKGIGHJJGCBL",149,xxxmobilemovieclub use credit click wap link next txt messag click http http,1
ham,Oh k...i'm watching here:),26,oh k watch,0
ham,Eh u remember how 2 spell his name... Yes i did. He v naughty make until i v wet.,81,eh rememb spell name yes v naughti make v wet,0
ham,Fine if thatåÕs the way u feel. ThatåÕs the way its gota b,58,fine way feel way gota b,0
spam,"England v Macedonia - dont miss the goals/team news. Txt ur national team to 87077 eg ENGLAND to 87077 Try:WALES, SCOTLAND 4txt/Ì¼1.20 POBOXox36504W45WQ 16+",156,england v macedonia dont miss goal team news txt ur nation team eg england tri wale scotland,1
ham,Is that seriously how you spell his name?,41,serious spell name,0
ham,IÛ÷m going to try for 2 months ha ha only joking,49,go tri month ha ha joke,0
ham,So Ì_ pay first lar... Then when is da stock comin...,53,pay first lar da stock comin,0
ham,Aft i finish my lunch then i go str down lor. Ard 3 smth lor. U finish ur lunch already?,88,aft finish lunch go str lor ard smth lor finish ur lunch alreadi,0
ham,Ffffffffff. Alright no way I can meet up with you sooner?,57,ffffffffff alright way meet sooner,0
ham,Just forced myself to eat a slice. I'm really not hungry tho. This sucks. Mark is getting worried. He knows I'm sick when I turn down pizza. Lol,144,forc eat slice realli hungri tho suck mark get worri know sick turn pizza lol,0
ham,Lol your always so convincing.,30,lol alway convinc,0
ham,Did you catch the bus ? Are you frying an egg ? Did you make a tea? Are you eating your mom's left over dinner ? Do you feel my Love ?,134,catch bus fri egg make tea eat mom left dinner feel love,0
ham,"I'm back &amp; we're packing the car now, I'll let you know if there's room",75,back pack car let know room,0
ham,Ahhh. Work. I vaguely remember that! What does it feel like? Lol,64,ahhh work vagu rememb feel like lol,0
ham,"Wait that's still not all that clear, were you not sure about me being sarcastic or that that's why x doesn't want to live with us",130,wait still clear sure sarcast x want live us,0
ham,Yeah he got in at 2 and was v apologetic. n had fallen out and she was actin like spoilt child and he got caught up in that. Till 2! But we won't go there! Not doing too badly cheers. You? ,189,yeah got v apologet n fallen actin like spoilt child got caught till go bad cheer,0
ham,K tell me anything about you.,29,k tell anyth,0
ham,For fear of fainting with the of all that housework you just did? Quick have a cuppa,84,fear faint housework quick cuppa,0
spam,Thanks for your subscription to Ringtone UK your mobile will be charged å£5/month Please confirm by replying YES or NO. If you reply NO you will not be charged,159,thank subscript rington uk mobil charg $$$ month pleas confirm repli yes repli charg,1
ham,Yup... Ok i go home look at the timings then i msg Ì_ again... Xuhui going to learn on 2nd may too but her lesson is at 8am,123,yup ok go home look time msg xuhui go learn may lesson,0
ham,"Oops, I'll let you know when my roommate's done",47,oop let know roommat done,0
ham,I see the letter B on my car,28,see letter b car,0
ham,Anything lor... U decide...,27,anyth lor decid,0
ham,Hello! How's you and how did saturday go? I was just texting to see if you'd decided to do anything tomo. Not that i'm trying to invite myself or anything!,155,hello saturday go text see decid anyth tomo tri invit anyth,0
ham,Pls go ahead with watts. I just wanted to be sure. Do have a great weekend. Abiola,82,pls go ahead watt want sure great weekend abiola,0
ham,"Did I forget to tell you ? I want you , I need you, I crave you ... But most of all ... I love you my sweet Arabian steed ... Mmmmmm ... Yummy",142,forget tell want need crave love sweet arabian steed mmmmmm yummi,0
spam,07732584351 - Rodger Burns - MSG = We tried to call you re your reply to our sms for a free nokia mobile + free camcorder. Please call now 08000930705 for delivery tomorrow,172,rodger burn msg tri call repli sms free nokia mobil free camcord pleas call deliveri tomorrow,1
ham,WHO ARE YOU SEEING?,19,see,0
ham,Great! I hope you like your man well endowed. I am  &lt;#&gt;  inches...,72,great hope like man well endow inch,0
ham,No calls..messages..missed calls,32,call messag miss call,0
ham,Didn't you get hep b immunisation in nigeria.,45,get hep b immunis nigeria,0
ham,"Fair enough, anything going on?",31,fair enough anyth go,0
ham,"Yeah hopefully, if tyler can't do it I could maybe ask around a bit",67,yeah hope tyler could mayb ask around bit,0
ham,U don't know how stubborn I am. I didn't even want to go to the hospital. I kept telling Mark I'm not a weak sucker. Hospitals are for weak suckers.,148,know stubborn even want go hospit kept tell mark weak sucker hospit weak sucker,0
ham,What you thinked about me. First time you saw me in class.,58,think first time saw class,0
ham,"A gram usually runs like  &lt;#&gt; , a half eighth is smarter though and gets you almost a whole second gram for  &lt;#&gt;",124,gram usual run like half eighth smarter though get almost whole second gram,0
ham,K fyi x has a ride early tomorrow morning but he's crashing at our place tonight,80,k fyi x ride earli tomorrow morn crash place tonight,0
ham,"Wow. I never realized that you were so embarassed by your accomodations. I thought you liked it, since i was doing the best i could and you always seemed so happy about \the cave\"". I'm sorry I didn't and don't have more to give. I'm sorry i offered. I'm sorry your room was so embarassing.""",291,wow never realiz embarass accomod thought like sinc best could alway seem happi cave sorri give sorri offer sorri room embarass,0
spam,SMS. ac Sptv: The New Jersey Devils and the Detroit Red Wings play Ice Hockey. Correct or Incorrect? End? Reply END SPTV,120,sms ac sptv new jersey devil detroit red wing play ice hockey correct incorrect end repli end sptv,1
ham,Do you know what Mallika Sherawat did yesterday? Find out now @  &lt;URL&gt;,76,know mallika sherawat yesterday find,0
spam,"Congrats! 1 year special cinema pass for 2 is yours. call 09061209465 now! C Suprman V, Matrix3, StarWars3, etc all 4 FREE! bx420-ip4-5we. 150pm. Dont miss out! ",161,congrat year special cinema pass call suprman v etc free dont miss,1
ham,"Sorry, I'll call later in meeting.",34,sorri call later meet,0
ham,Tell where you reached,22,tell reach,0
ham,Yes..gauti and sehwag out of odi series.,40,yes gauti sehwag odi seri,0
ham,Your gonna have to pick up a $1 burger for yourself on your way home. I can't even move. Pain is killing me.,108,gonna pick $$$ burger way home even move pain kill,0
ham,Ha ha ha good joke. Girls are situation seekers.,48,ha ha ha good joke girl situat seeker,0
ham,Its a part of checking IQ,25,part check iq,0
ham,"Sorry my roommates took forever, it ok if I come by now?",56,sorri roommat took forev ok come,0
ham,Ok lar i double check wif da hair dresser already he said wun cut v short. He said will cut until i look nice.,110,ok lar doubl check wif da hair dresser alreadi said wun cut v short said cut look nice,0
spam,"As a valued customer, I am pleased to advise you that following recent review of your Mob No. you are awarded with a å£1500 Bonus Prize, call 09066364589",153,valu custom pleas advis follow recent review mob award $$$ bonus prize call,1
ham,"Today is \song dedicated day..\"" Which song will u dedicate for me? Send this to all ur valuable frnds but first rply me...""",124,today song dedic day song dedic send ur valuabl frnds first rpli,0
spam,"Urgent UR awarded a complimentary trip to EuroDisinc Trav, Aco&Entry41 Or å£1000. To claim txt DIS to 87121 18+6*å£1.50(moreFrmMob. ShrAcomOrSglSuplt)10, LS1 3AJ",161,urgent ur award complimentari trip eurodisinc trav aco $$$ claim txt dis $$$ morefrmmob shracomorsglsuplt,1
spam,"Did you hear about the new \Divorce Barbie\""? It comes with all of Ken's stuff!""",80,hear new divorc barbi come ken stuff,1
ham,I plane to give on this month end.,34,plane give month end,0
ham,Wah lucky man... Then can save money... Hee...,46,wah lucki man save money hee,0
ham,Finished class where are you.,29,finish class,0
ham,HI BABE IM AT HOME NOW WANNA DO SOMETHING? XX,45,hi babe home wanna someth xx,0
ham,K..k:)where are you?how did you performed?,42,k k perform,0
ham,U can call me now...,20,call,0
ham,I am waiting machan. Call me once you free.,43,wait machan call free,0
ham,Thats cool. i am a gentleman and will treat you with dignity and respect.,73,that cool gentleman treat digniti respect,0
ham,I like you peoples very much:) but am very shy pa.,50,like peopl much shi pa,0
ham,Does not operate after  &lt;#&gt;  or what,42,oper,0
ham,Its not the same here. Still looking for a job. How much do Ta's earn there.,76,still look job much ta earn,0
ham,"Sorry, I'll call later",22,sorri call later,0
ham,K. Did you call me just now ah? ,32,k call ah,0
ham,Ok i am on the way to home hi hi,32,ok way home hi hi,0
ham,You will be in the place of that man,36,place man,0
ham,Yup next stop.,14,yup next stop,0
ham,"I call you later, don't have network. If urgnt, sms me.",55,call later network urgnt sms,0
ham,For real when u getting on yo? I only need 2 more tickets and one more jacket and I'm done. I already used all my multis.,121,real get yo need ticket one jacket done alreadi use multi,0
ham,Yes I started to send requests to make it but pain came back so I'm back in bed. Double coins at the factory too. I gotta cash in all my nitros.,144,yes start send request make pain came back back bed doubl coin factori gotta cash nitro,0
ham,I'm really not up to it still tonight babe,42,realli still tonight babe,0
ham,"Ela kano.,il download, come wen ur free..",41,ela kano il download come wen ur free,0
ham,Yeah do! DonÛ÷t stand to close tho- youÛ÷ll catch something!,62,yeah stand close tho catch someth,0
